조회날짜,연도,월,일,방위각_09시,방위각_12시,방위각_15시
20230101,2023,1,1,130.82,170.72,215.43
20230102,2023,1,2,130.67,170.58,215.38
20230103,2023,1,3,130.53,170.45,215.33
20230104,2023,1,4,130.38,170.3,215.28
20230105,2023,1,5,130.23,170.17,215.25
20230106,2023,1,6,130.08,170.03,215.2
20230107,2023,1,7,129.92,169.9,215.18
20230108,2023,1,8,129.77,169.77,215.15
20230109,2023,1,9,129.6,169.63,215.13
20230110,2023,1,10,129.43,169.5,215.12
20230111,2023,1,11,129.25,169.37,215.12
20230112,2023,1,12,129.08,169.23,215.12
20230113,2023,1,13,128.9,169.1,215.12
20230114,2023,1,14,128.72,168.97,215.13
20230115,2023,1,15,128.53,168.83,215.15
20230116,2023,1,16,128.35,168.72,215.17
20230117,2023,1,17,128.15,168.58,215.18
20230118,2023,1,18,127.97,168.45,215.22
20230119,2023,1,19,127.77,168.33,215.27
20230120,2023,1,20,127.57,168.2,215.3
20230121,2023,1,21,127.37,168.08,215.37
20230122,2023,1,22,127.17,167.95,215.42
20230123,2023,1,23,126.95,167.83,215.48
20230124,2023,1,24,126.75,167.72,215.55
20230125,2023,1,25,126.53,167.6,215.62
20230126,2023,1,26,126.33,167.48,215.7
20230127,2023,1,27,126.12,167.37,215.8
20230128,2023,1,28,125.9,167.25,215.88
20230129,2023,1,29,125.68,167.15,215.98
20230130,2023,1,30,125.47,167.03,216.1
20230131,2023,1,31,125.23,166.93,216.22
20230201,2023,2,1,125.02,166.82,216.33
20230202,2023,2,2,124.8,166.72,216.47
20230203,2023,2,3,124.57,166.62,216.6
20230204,2023,2,4,124.35,166.52,216.73
20230205,2023,2,5,124.12,166.42,216.88
20230206,2023,2,6,123.88,166.33,217.03
20230207,2023,2,7,123.65,166.23,217.2
20230208,2023,2,8,123.43,166.15,217.37
20230209,2023,2,9,123.2,166.05,217.53
20230210,2023,2,10,122.97,165.97,217.72
20230211,2023,2,11,122.72,165.88,217.9
20230212,2023,2,12,122.48,165.8,218.08
20230213,2023,2,13,122.25,165.72,218.28
20230214,2023,2,14,122.02,165.63,218.48
20230215,2023,2,15,121.78,165.57,218.7
20230216,2023,2,16,121.53,165.48,218.92
20230217,2023,2,17,121.3,165.42,219.13
20230218,2023,2,18,121.05,165.35,219.37
20230219,2023,2,19,120.82,165.28,219.6
20230220,2023,2,20,120.57,165.22,219.85
20230221,2023,2,21,120.32,165.15,220.08
20230222,2023,2,22,120.08,165.08,220.35
20230223,2023,2,23,119.83,165.02,220.6
20230224,2023,2,24,119.58,164.97,220.87
20230225,2023,2,25,119.33,164.92,221.13
20230226,2023,2,26,119.08,164.85,221.42
20230227,2023,2,27,118.85,164.8,221.7
20230228,2023,2,28,118.6,164.75,221.98
20230301,2023,3,1,118.35,164.7,222.28
20230302,2023,3,2,118.1,164.67,222.58
20230303,2023,3,3,117.85,164.62,222.88
20230304,2023,3,4,117.58,164.57,223.2
20230305,2023,3,5,117.33,164.53,223.52
20230306,2023,3,6,117.08,164.5,223.83
20230307,2023,3,7,116.83,164.45,224.17
20230308,2023,3,8,116.58,164.42,224.5
20230309,2023,3,9,116.32,164.38,224.83
20230310,2023,3,10,116.07,164.35,225.18
20230311,2023,3,11,115.8,164.32,225.52
20230312,2023,3,12,115.55,164.3,225.87
20230313,2023,3,13,115.28,164.27,226.23
20230314,2023,3,14,115.03,164.23,226.58
20230315,2023,3,15,114.77,164.2,226.95
20230316,2023,3,16,114.52,164.18,227.32
20230317,2023,3,17,114.25,164.15,227.7
20230318,2023,3,18,113.98,164.13,228.07
20230319,2023,3,19,113.72,164.1,228.45
20230320,2023,3,20,113.45,164.08,228.83
20230321,2023,3,21,113.18,164.07,229.23
20230322,2023,3,22,112.92,164.03,229.62
20230323,2023,3,23,112.65,164.02,230.02
20230324,2023,3,24,112.38,164.0,230.42
20230325,2023,3,25,112.12,163.97,230.82
20230326,2023,3,26,111.83,163.95,231.22
20230327,2023,3,27,111.57,163.93,231.62
20230328,2023,3,28,111.28,163.9,232.03
20230329,2023,3,29,111.02,163.88,232.45
20230330,2023,3,30,110.73,163.87,232.85
20230331,2023,3,31,110.47,163.85,233.27
20230401,2023,4,1,110.18,163.82,233.68
20230402,2023,4,2,109.92,163.8,234.12
20230403,2023,4,3,109.63,163.77,234.53
20230404,2023,4,4,109.35,163.75,234.95
20230405,2023,4,5,109.07,163.72,235.38
20230406,2023,4,6,108.78,163.68,235.8
20230407,2023,4,7,108.5,163.67,236.23
20230408,2023,4,8,108.22,163.63,236.65
20230409,2023,4,9,107.93,163.6,237.08
20230410,2023,4,10,107.65,163.57,237.52
20230411,2023,4,11,107.37,163.52,237.93
20230412,2023,4,12,107.07,163.48,238.37
20230413,2023,4,13,106.78,163.43,238.78
20230414,2023,4,14,106.5,163.4,239.22
20230415,2023,4,15,106.2,163.35,239.63
20230416,2023,4,16,105.92,163.3,240.07
20230417,2023,4,17,105.62,163.23,240.48
20230418,2023,4,18,105.33,163.18,240.92
20230419,2023,4,19,105.03,163.12,241.33
20230420,2023,4,20,104.73,163.05,241.75
20230421,2023,4,21,104.45,162.98,242.17
20230422,2023,4,22,104.15,162.9,242.58
20230423,2023,4,23,103.87,162.83,242.98
20230424,2023,4,24,103.57,162.75,243.4
20230425,2023,4,25,103.27,162.65,243.8
20230426,2023,4,26,102.98,162.57,244.22
20230427,2023,4,27,102.68,162.47,244.62
20230428,2023,4,28,102.38,162.37,245.0
20230429,2023,4,29,102.1,162.27,245.4
20230430,2023,4,30,101.8,162.15,245.78
20230501,2023,5,1,101.52,162.03,246.17
20230502,2023,5,2,101.23,161.92,246.55
20230503,2023,5,3,100.93,161.78,246.93
20230504,2023,5,4,100.65,161.65,247.3
20230505,2023,5,5,100.37,161.5,247.67
20230506,2023,5,6,100.08,161.37,248.03
20230507,2023,5,7,99.8,161.2,248.38
20230508,2023,5,8,99.52,161.05,248.75
20230509,2023,5,9,99.23,160.88,249.08
20230510,2023,5,10,98.95,160.7,249.43
20230511,2023,5,11,98.68,160.53,249.77
20230512,2023,5,12,98.4,160.35,250.08
20230513,2023,5,13,98.13,160.15,250.42
20230514,2023,5,14,97.87,159.95,250.72
20230515,2023,5,15,97.6,159.75,251.03
20230516,2023,5,16,97.33,159.53,251.33
20230517,2023,5,17,97.08,159.32,251.62
20230518,2023,5,18,96.82,159.08,251.9
20230519,2023,5,19,96.57,158.85,252.18
20230520,2023,5,20,96.32,158.62,252.45
20230521,2023,5,21,96.08,158.37,252.72
20230522,2023,5,22,95.83,158.13,252.97
20230523,2023,5,23,95.6,157.87,253.22
20230524,2023,5,24,95.37,157.62,253.45
20230525,2023,5,25,95.15,157.35,253.68
20230526,2023,5,26,94.92,157.08,253.9
20230527,2023,5,27,94.7,156.82,254.12
20230528,2023,5,28,94.5,156.55,254.32
20230529,2023,5,29,94.28,156.27,254.52
20230530,2023,5,30,94.08,155.98,254.7
20230531,2023,5,31,93.9,155.72,254.87
20230601,2023,6,1,93.72,155.43,255.03
20230602,2023,6,2,93.53,155.15,255.18
20230603,2023,6,3,93.35,154.87,255.33
20230604,2023,6,4,93.18,154.58,255.47
20230605,2023,6,5,93.02,154.3,255.6
20230606,2023,6,6,92.87,154.03,255.72
20230607,2023,6,7,92.72,153.75,255.82
20230608,2023,6,8,92.57,153.48,255.92
20230609,2023,6,9,92.43,153.22,256.0
20230610,2023,6,10,92.32,152.95,256.07
20230611,2023,6,11,92.18,152.68,256.13
20230612,2023,6,12,92.07,152.43,256.2
20230613,2023,6,13,91.97,152.18,256.23
20230614,2023,6,14,91.87,151.93,256.27
20230615,2023,6,15,91.78,151.7,256.28
20230616,2023,6,16,91.7,151.48,256.3
20230617,2023,6,17,91.62,151.27,256.3
20230618,2023,6,18,91.55,151.05,256.3
20230619,2023,6,19,91.48,150.85,256.28
20230620,2023,6,20,91.43,150.67,256.25
20230621,2023,6,21,91.4,150.48,256.22
20230622,2023,6,22,91.37,150.32,256.17
20230623,2023,6,23,91.33,150.17,256.1
20230624,2023,6,24,91.32,150.02,256.03
20230625,2023,6,25,91.3,149.9,255.95
20230626,2023,6,26,91.3,149.78,255.87
20230627,2023,6,27,91.3,149.68,255.77
20230628,2023,6,28,91.32,149.58,255.65
20230629,2023,6,29,91.35,149.52,255.53
20230630,2023,6,30,91.38,149.45,255.4
20230701,2023,7,1,91.42,149.4,255.27
20230702,2023,7,2,91.47,149.37,255.12
20230703,2023,7,3,91.52,149.35,254.97
